Detections_R1,Detections_R1_end,Associations_R2,Associations_R3,Associations_R4,Associations_R5,Freq_1,Freq_2,Noise_1,Noise_2,Pass_band_1,Pass_band_2,Stop_band_1,Stop_band_2,T_bounds_1,T_bounds_2,Gamma,V1,V2,Eta_thresh,Eta_noise,T_min,Noise_thresh,Max_noise_dur,Min_noise_dur
434.7873671,435.1938712,431.3570834,432.194101,432.3537038,439.1064343,800,864,434.6779237,436.0850532,150,1800,100,1850,375,450,1,1,2,0.000262,2.07E-05,0.35,0.000131,5,1
435.4909318,435.9130707,432.0478308,432.8907078,432.4353813,431.8137832,688,768,435.1938712,436.6166354,150,1800,100,1850,375,450,1,1,2,0.000262,2.07E-05,0.35,0.000131,5,1
436.2883052,436.6948093,432.8348281,433.6925367,435.8492708,432.6240349,576,704,436.1788618,441.6979362,150,1800,100,1850,375,450,1,1,2,0.000262,2.07E-05,0.35,0.000131,5,1
